W1,W2,W3,F
via,namo,app,270
pm,narendra,modi,83
really,really,really,79
hon,pm,modi,69
pm,ji,ji,46
prime,minister,narendra,44
vs,vs,vs,43
pm,shri,ji,40
our,pm,ji,39
minister,narendra,modi,38
our,hon,pm,37
transformation,our,hon,36
months,transformation,our,36
pm,modi,jee,36
president,amit,shah,35
shri,narendra,modi,34
modi,jee,our,34
jee,our,matter,34
"jee🙏🇮🇳💪😇""for",our,matter,32
pm,modi,"jee🙏🇮🇳💪😇""for",32
transformation.our,hon,pm,32
modi,"jee🙏🇮🇳💪😇""for",our,32
prime,minister,shri,29
our,prime,minister,27
prime,minister,india,26
voters,reject,nota,25
minister,shri,ji,24
track,live,updates,24
ind,voters,reject,24
pm,via,namo,23
supporters,ppl,vote,22
ppl,vote,chor,22
leader,history,india,22
projects,worth,rs,22
vote,chor,whatever,22
spread,word,supporters,22
great,leader,history,22
plz,spread,word,22
word,supporters,ppl,22
reservation,economically,weaker,21
whatever,happening,west,21
chor,whatever,happening,21
modi,god,india,21
modi,via,namo,21
happening,west,repeated,21
investor,rakesh,jhunjhunwala,21
west,repeated,india,21
man,developing,india,20
economically,weaker,sections,20
india,great,leader,20
ji,ji,ji,19
reply,motion,thanks,19
ace,investor,rakesh,19
modi,prime,minister,19
survey,namo,app,19
god,india,great,19
modi,modi,modi,19
reject,nota,defeat,18
philip,kotler,presidential,18
pm,modi,ji,18
kotler,presidential,award,18
worth,rs,crore,18
note,people,vote,17
country,scamfree,corruptionfree,17
want,country,scamfree,17
scamfree,corruptionfree,fraudfree,17
people,vote,this👇,17
plz,note,people,17
tamil,nadu,puducherry,17
corruptionfree,fraudfree,vote,17
central,government,led,17
pm,modi,via,17
fraudfree,vote,thank,17
historic,day,india,17
completed,survey,namo,16
congratulations,pm,ji,16
alliance,tamil,nadu,16
sir💪🏽,sir💪🏽,sir💪🏽,16
ahead,lok,elections,16
economically,weaker,section,16
narendra,modi,prime,16
reject,nota,corrupt,15
thanks,presidents,address,15
motion,thanks,presidents,15
historic,day,decisively,15
good,work,done,15
should,retain,power,15
ji,prime,minister,15
nota,corrupt,ahind,15
day,decisively,pass,15
congratulating,government,led,14
india,amendment,constitution,14
heres,ace,investor,14
pass,congratulating,government,14
day,india,amendment,14
amendment,constitution,passed,14
passed,passes,ayes,14
decisively,pass,congratulating,14
constitution,passed,passes,14
congi,commie,sp,13
india,modi,god,13
odia,culture,always,13
progress,reject,nota,13
would,se,ke,13
inclusive,progress,reject,13
women,empowerment,shri,13
empowerment,shri,narendra,13
historic,descision,modi,13
importance,women,empowerment,13
pm,reply,motion,13
feel,central,government,13
developing,india,modi,13
culture,always,gives,13
hard,coming,working,13
us,hand,want,13
sp,jds,ncp,13
topmost,importance,women,13
great,odia,culture,13
want,work,hard,13
hand,want,stay,13
coming,working,hard,13
reservation,general,category,13
parties,antihindu,corrupt,13
work,hard,coming,13
pledge,support,ji,13
gives,topmost,importance,13
rakesh,jhunjhunwala,narendra,13
always,gives,topmost,13
call,us,hand,13
commie,sp,jds,13
seats,seats,seats,13
narendra,modi,ji,13
contest,seats,ljp,13
class,approved,union,12
retain,power,things,12
would,nosedive’,chairman,12
contest,lok,seats,12
descision,modi,govt💪,12
india,modi,ji,12
passes,constitution,amendment,12
upper,class,approved,12
nosedive’,chairman,election,12
read,tweet,call,12
tourism,receives,major,12
economicaly,upper,class,12
govt💪,economicaly,upper,12
government,led,prime,12
clean,dirt,india,12
jd(u,contest,seats,12
se,ke,liye,12
major,modi,government,12
middle,class,india,12
things,would,nosedive’,12
power,things,would,12
modi,govt💪,economicaly,12
nota,defeat,congi,12
defeat,congi,commie,12
jhunjhunwala,narendra,modi,12
economically,weaker,upper,12
modi,clean,dirt,12
race,time,work,12
modi,ji,india,12
tweet,call,us,12
approaching,race,time,12
hows,josh,sir,11
next,prime,minister,11
want,stay,want,11
matters,national,importance,11
hearing,deferred,sc,11
ke,liye,visit,11
screams,turns,true,11
seats,tamil,nadu,11
elections?any,alternative,ordinance,11
opposition,raising,mandir,11
ruling,unlikely,polls,11
support,ji,nominate,11
turns,true,happens,11
pm,shri,narendra,11
jai,hind,jai,11
paced,development,modi,11
researched,articles,matters,11
prevent,mocked,opposition,11
transforming,india,forever,11
articles,matters,national,11
vote,modi,ji,11
liye,visit,researched,11
taken,modi,government,11
narendra,modi,pm,11
mocked,opposition,raising,11
mandir,elections?any,alternative,11
stay,want,work,11
happens,aspirations,prevent,11
polls,screams,turns,11
sc,ruling,unlikely,11
deferred,sc,ruling,11
visit,researched,articles,11
sir,read,tweet,11
true,happens,aspirations,11
watch,live,pm,11
raising,mandir,elections?any,11
ji,nominate,friends,11
unlikely,polls,screams,11
passes,ayes,noes,11
fast,paced,development,11
aspirations,prevent,mocked,11
chairman,election,modi,10
receives,major,modi,10
praise,india,modi,10
our,pm,shri,10
highest,growth,lowest,10
ji,eagerly,waiting,10
mode,score,nda,10
decide,something,miles,10
working,hard,strengthening,10
critical,sh,ji,10
something,miles,ahead,10
time,work,hindus,10
score,nda,save,10
must,watch,interview,10
sh,ji,yet,10
actually,praise,india,10
prime,minister,modi,10
aiadmk,tamil,nadu,10
govt’s,transforming,india,10
firstever,philip,kotler,10
ji,actually,praise,10
step,taken,modi,10
dont,dont,dont,10
history,independent,india,10
campaign,mode,score,10
weaker,upper,castes,10
hon,pm,ji,10
ji,yet,campaign,10
sir,sir,sir,10
namo,wall,painting,10
government,citizens,india,10
news,times,india,10
development,modi,govt’s,10
modi,govt’s,transforming,10
yes,campaign,mode,10
last,years,modi,10
growth,lowest,inflation,10
modi,government,citizens,10
ji,india,synonymous,10
election,modi,vs,10
india,news,times,9
congratulations,hon,pm,9
issues,vote,appeal,9
shiv,sena,announce,9
deputy,cm,panneerselvam,9
passing,triple,talaq,9
watch,live,ndtv,9
seats,uttar,pradesh,9
government,likely,outcome,9
cm,issues,vote,9
announce,alliance,lok,9
vote,appeal,lok,9
praying,speedy,recovery,9
weak,upper,castes,9
journey,transform,india,9
honest,tax,payers,9
vote,thank,ji,9
passed,jan,passed,9
app,journey,transform,9
jan,passed,jan,9
narendra,modi,government,9
download,toi,app,9
economically,weak,upper,9
alliance,mega,winning,9
chief,uddhav,thackeray,9
speedy,recovery,sir,9
shri,ji,passes,9
alliance,uttar,pradesh,9
hon,pm,shri,9
transform,india,click,9
pm,ji,eagerly,9
jan,approves,jan,9
approves,jan,passed,9
appeal,lok,polls,9
har,har,modi,9
delhi,cm,issues,9
modi,ji,actually,9
rs,lakh,crore,9
feelings,request,sir.i,8
doctors,rss,day,8
head,manifesto,committee,8
aggressively,show,power💪,8
alliance,shiv,sena,8
us,want,stay,8
save,tweet,dont,8
prepare,manifesto,upcoming,8
pledge,our,support,8
employees,professionals,traders,8
approves,economically,weaker,8
rss,day,campaign,8
join,namo,app,8
want,stay,people,8
life,our,pm,8
polls,aap,defeat,8
fastest,growing,economy,8
live,updates,campaigns,8
day,campaign,aggressively,8
show,power💪,else,8
vote,pm,modi,8
committee,prepare,manifesto,8
ayes,noes,congratulations,8
economically,upper,castes,8
economically,weak,general,8
yes,lot,work,8
join,us,want,8
students,employees,professionals,8
approves,economically,weak,8
read,tweets,call,8
upper,castes,government,8
movie,life,our,8
look,upcoming,movie,8
corruption,free,governance,8
minister,piyush,goyal,8
tweet,dont,edit,8
us,join,us,8
proud,our,pm,8
jai,ho,jai,8
ji,pm,ji,8
options,elections,choose,8
want,work,people,8
religious,festival,enough,8
hindus,religious,festival,8
nda,save,tweet,8
section,general,category,8
government,led,leadership,8
ji,taking,historic,8
ahead,general,elections,8
festival,enough,pm,8
request,sir.i,want,8
sir,yes,lot,8
sections,general,category,8
traders,doctors,rss,8
namo,app,journey,8
led,prime,minister,8
lok,polls,aap,8
dynamic,leadership,pm,8
ruling,pledged,millions,8
upcoming,movie,life,8
vote,narendra,modi,8
letting,facts,speak,8
pradhan,mantri,awas,8
understand,feelings,request,8
recovery,sir,yes,8
professionals,traders,doctors,8
weaker,section,general,8
campaign,aggressively,show,8
jai,modi,ji,8
mega,winning,alliance,8
seats,shiv,sena,8
committee,arun,jaitley,8
seats,fight,seats,8
appease,hindus,religious,8
pledged,millions,appease,8
call,us,join,8
lot,work,done,8
sir.i,want,work,8
millions,appease,hindus,8
sir,read,tweets,8
fulfilled,essential,needs,8
shiv,sena,alliance,8
hard,strengthening,party,8
india’s,ruling,pledged,8
people,want,good,8
manifesto,committee,arun,8
tweets,call,us,8
ensuring,equality,dignity,8
led,leadership,pm,8
president,manifesto,committee,7
head,hindu,want,7
national,council,meeting,7
follow,live,updates,7
mantri,awas,yojana,7
support,our,pm,7
avoid,religious,topic,7
hindu,want,political,7
ji.🙏🙏,praying,speedy,7
last,meeting,staff,7
pappu,pm,morons,7
